                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 2.0199,                 2.4553,                 2.3985,                 0.5059,                0.38689,                0.30954,                0.16653,                 1.9359,                 3.1971,                 2.2179,               0.007327,               0.007327,               0.007327
                     56,                  2.013,                 2.5408,                 2.4157,                0.52396,                0.42231,                0.33471,                0.19587,                 1.8536,                 2.8498,                 2.0856,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.0132,                 2.4786,                 2.4021,                0.55024,                0.31156,                0.35082,                0.19699,                 1.8217,                 3.2325,                  2.073,               0.007228,               0.007228,               0.007228
                     58,                 1.9945,                 2.4663,                 2.3445,                0.56733,                 0.3441,                0.37102,                0.19826,                 1.8438,                 2.9385,                 2.0609,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.9688,                 2.4449,                 2.3504,                 0.5836,                0.36508,                0.31825,                0.16856,                 1.8857,                 2.8317,                 2.0656,               0.007129,               0.007129,               0.007129
                     60,                 2.0153,                  2.436,                 2.3246,                0.54043,                0.30062,                0.29519,                0.13518,                 2.0088,                 2.9638,                 2.1689,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.9061,                 2.4192,                 2.3186,                0.18821,                0.43219,                0.24922,                0.11442,                 2.0001,                 2.8636,                 2.2298,                0.00703,                0.00703,                0.00703
                     62,                 1.9281,                 2.3973,                  2.281,                0.17849,                0.25898,                0.19954,                0.08449,                 2.0633,                 2.8268,                  2.282,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.8664,                 2.3111,                 2.2694,                0.22693,                0.24793,                0.24688,                0.11631,                  1.994,                 2.7024,                 2.2288,               0.006931,               0.006931,               0.006931
                     64,                 1.8485,                 2.3198,                 2.2208,                0.23208,                0.35971,                0.30822,                0.16656,                 1.8826,                 2.4368,                 2.1121,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.8341,                 2.2557,                 2.2195,                0.30397,                0.37587,                0.34208,                0.17557,                 1.8147,                 2.3699,                 2.0438,               0.006832,               0.006832,               0.006832
                     66,                 1.8289,                 2.2936,                 2.1771,                0.57049,                 0.3605,                0.36126,                0.18286,                 1.7608,                 2.2821,                 1.9942,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.8073,                 2.2638,                 2.2108,                0.40324,                0.43343,                0.41285,                0.19205,                 1.8314,                 2.1896,                 1.9622,               0.006733,               0.006733,               0.006733
                     68,                 1.7801,                 2.2274,                 2.2231,                0.41243,                0.48525,                 0.4547,                0.21638,                 1.7525,                 2.1993,                 1.9615,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.728,                 2.1675,                 2.1296,                 0.4474,                0.49247,                0.45133,                0.22012,                 1.8174,                 2.1637,                 1.9619,               0.006634,               0.006634,               0.006634
