                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.3462,                 3.3368,                 2.6628,                 2.7306,                0.28974,                0.24633,                0.02934,                0.00973,                0.25661,                 0.0461,                0.00277,                0.00053,                 2.5629,                   4.28,                 5.9295,                 2.6937,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.3133,                  3.477,                  2.673,                 2.6505,                0.63959,                0.20392,                0.19886,                0.08617,                0.59771,                0.09267,                0.06145,                0.01858,                 2.1658,                  3.682,                 3.9958,                 2.4241,               0.007426,               0.007426,               0.007426
                     54,                 2.2331,                 3.3361,                 2.6488,                 2.6375,                0.49934,                0.42218,                0.29473,                0.15077,                0.63011,                0.20898,                0.12211,                0.03761,                 2.0788,                 3.7262,                 4.9451,                 2.3884,              0.0073765,              0.0073765,              0.0073765
                     55,                  2.215,                  3.282,                 2.5039,                 2.6065,                0.66628,                0.28882,                0.28161,                0.13904,                0.66797,                0.21785,                0.17485,                0.06213,                 2.0748,                 3.3647,                 4.4496,                 2.3529,               0.007327,               0.007327,               0.007327
                     56,                  2.223,                 3.3889,                  2.648,                 2.6306,                0.51261,                0.41728,                0.30786,                 0.1573,                0.65055,                0.16902,                0.10621,                0.03028,                 2.1279,                 3.4073,                 4.3558,                 2.4003,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.2449,                 3.3859,                 2.5463,                 2.6487,                0.68737,                0.23403,                0.30105,                0.14137,                0.68622,                0.18693,                0.17637,                0.07465,                 2.0656,                 3.1541,                 3.3108,                 2.2727,               0.007228,               0.007228,               0.007228
                     58,                  2.209,                 3.1562,                 2.5703,                 2.5896,                0.59772,                0.28883,                0.31558,                 0.1501,                0.48467,                0.20083,                0.18549,                0.07289,                 2.0442,                 3.7487,                  3.658,                 2.2637,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.1222,                 3.3159,                 2.5108,                 2.5421,                0.54181,                0.31095,                0.33134,                0.15537,                0.46066,                0.20995,                0.18463,                0.05992,                 1.9334,                 3.0581,                 3.2754,                 2.1666,               0.007129,               0.007129,               0.007129
                     60,                 2.1547,                 3.4891,                 2.5155,                 2.5068,                0.53691,                0.31347,                0.27353,                0.12647,                0.42733,                0.26358,                0.17289,                0.05357,                 1.9681,                 3.1182,                 3.1047,                 2.1801,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.1316,                  3.396,                 2.4729,                 2.5515,                0.50628,                0.36591,                0.28042,                0.13187,                0.42509,                 0.2099,                0.16498,                0.05373,                 1.9418,                 3.0741,                 3.0085,                 2.1563,                0.00703,                0.00703,                0.00703
                     62,                 2.0844,                 3.2231,                 2.4671,                 2.5139,                0.47991,                0.44021,                0.33279,                0.15482,                0.42147,                0.27254,                0.21674,                0.08347,                 1.8784,                 2.9031,                 2.9192,                 2.1537,              0.0069805,              0.0069805,              0.0069805
                     63,                 2.0525,                 3.2431,                 2.4204,                 2.4887,                0.52259,                0.45549,                0.32415,                 0.1589,                0.46456,                0.25344,                0.20503,                0.07326,                 1.8397,                 3.1495,                 2.8413,                 2.1252,               0.006931,               0.006931,               0.006931
                     64,                 2.0374,                 3.1997,                  2.437,                 2.4637,                0.52212,                 0.3993,                 0.3073,                0.15335,                0.71426,                0.22123,                0.18503,                0.07259,                 1.8506,                 2.8012,                  2.834,                 2.1336,              0.0068815,              0.0068815,              0.0068815
